Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:43 PM  1002     10730   38.00    3.00    0.00    0.00   41.00     2  13706.00      0.00 9172940  802656   2.47  python3
12:46:43 PM  1002     13145    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:44 PM  1002     10730   47.00    1.00    0.00    0.00   48.00    10  14727.00      0.00 9172940  802756   2.47  python3
12:46:44 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:45 PM  1002     10730   44.00    3.00    0.00    0.00   47.00    10  14726.00      0.00 9172940  802860   2.47  python3
12:46:45 PM  1002     13145    1.00    1.00    0.00    0.00    2.00    14   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:46 PM  1002     10730   44.00    4.00    0.00    0.00   48.00    10  14726.00      0.00 9172940  802172   2.47  python3
12:46:46 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    12   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:47 PM  1002     10730   38.00    3.00    0.00    0.00   41.00    10  17755.00      0.00 9172940  802644   2.47  python3
12:46:47 PM  1002     13145    2.00    2.00    0.00    0.00    4.00     4   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:48 PM  1002     10730   51.00    0.00    0.00    0.00   51.00    10  14726.00      0.00 9172940  802744   2.47  python3
12:46:48 PM  1002     13145    3.00    1.00    0.00    0.00    4.00    22   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:49 PM  1002     10730   51.00    0.00    0.00    0.00   51.00    10  14726.00      0.00 9172940  802580   2.47  python3
12:46:49 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     4   1995.00      0.00 2072032  169564   0.52  python3
