elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,latitude_deg,longitude_deg,altitude_msl_m,relative_altitude_m,gps_local_east_m,gps_local_north_m,local_x_east_m,local_y_north_m,local_z_up_m,ground_speed_mps,vertical_speed_up_mps,heading_deg,source_topic
120.737949,2026-09-01T20:08:45.839183+00:00,1788293325.839182615,1788293323.018934965,1788293322.859961987,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.022072512,-0.000019303,172.975902,/ap/v1/navsat
121.157878,2026-09-01T20:08:46.259113+00:00,1788293326.259112597,1788293323.417867899,1788293323.369875908,6.077122688,80.190788269,3.099999905,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.022274253,0.000097512,172.974918,/ap/v1/navsat
125.717955,2026-09-01T20:08:50.819191+00:00,1788293330.819191217,1788293327.836126089,1788293327.717145920,6.077122211,80.190788269,3.089999914,3.088999987,3.378235167,-27.631493850,3.475767612,-27.829711914,3.079999924,0.029175744,0.000079805,173.003481,/ap/v1/navsat
126.132854,2026-09-01T20:08:51.234088+00:00,1788293331.234088182,1788293328.236058950,1788293328.202064037,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.829711914,3.079999924,0.029175744,0.000079805,173.003481,/ap/v1/navsat
127.541521,2026-09-01T20:08:52.642757+00:00,1788293332.642757416,1788293329.618825912,1788293329.558835983,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.022563532,0.000095948,173.010088,/ap/v1/navsat
127.979566,2026-09-01T20:08:53.080800+00:00,1788293333.080800056,1788293330.037755966,1788293329.979765892,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.022563532,0.000095948,173.010088,/ap/v1/navsat
129.834555,2026-09-01T20:08:54.935790+00:00,1788293334.935789824,1788293331.838453054,1788293331.816457033,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.020091569,0.000116050,173.017967,/ap/v1/navsat
131.488983,2026-09-01T20:08:56.590217+00:00,1788293336.590217113,1788293333.436184883,1788293333.267213106,6.077122211,80.190788269,3.089999914,3.088999987,3.378235167,-27.631493850,3.475767612,-27.818578720,3.079999924,0.024136907,0.000158570,173.025422,/ap/v1/navsat
132.528783,2026-09-01T20:08:57.630018+00:00,1788293337.630017519,1788293334.438015938,1788293334.315037012,6.077122211,80.190788269,3.089999914,3.088999987,3.378235167,-27.631493850,3.475767612,-27.818578720,3.079999924,0.024361357,0.000181786,173.030417,/ap/v1/navsat
133.749217,2026-09-01T20:08:58.850453+00:00,1788293338.850453138,1788293335.618818045,1788293335.541831017,6.077122211,80.190788269,3.099999905,3.089999914,3.378235167,-27.631493850,3.475767612,-27.829711914,3.089999914,0.029497623,-0.000374649,173.039083,/ap/v1/navsat
135.033050,2026-09-01T20:09:00.134284+00:00,1788293340.134284019,1788293336.837613106,1788293336.796619892,6.077122688,80.190788269,3.089999914,3.091000080,3.378235167,-27.578761992,3.475767612,-27.818578720,3.089999914,0.023424263,-0.001398403,173.039143,/ap/v1/navsat
135.222333,2026-09-01T20:09:00.323568+00:00,1788293340.323568106,1788293337.037580013,1788293337.010584116,6.077122688,80.190788269,3.089999914,3.091000080,3.378235167,-27.578761992,3.475767612,-27.818578720,3.089999914,0.023424263,-0.001398403,173.039143,/ap/v1/navsat
136.048373,2026-09-01T20:09:01.149608+00:00,1788293341.149607658,1788293337.838444948,1788293337.818448067,6.077122688,80.190788269,3.089999914,3.089999914,3.378235167,-27.578761992,3.475767612,-27.818578720,3.089999914,0.020591632,-0.000771371,173.038662,/ap/v1/navsat
139.123878,2026-09-01T20:09:04.225113+00:00,1788293344.225112915,1788293340.818943977,1788293340.640974045,6.077122688,80.190788269,3.089999914,3.088999987,3.378235167,-27.578761992,3.475767612,-27.818578720,3.079999924,0.027779857,0.000086744,173.037781,/ap/v1/navsat
140.393148,2026-09-01T20:09:05.494383+00:00,1788293345.494382620,1788293342.039738894,1788293342.021742105,6.077122211,80.190788269,3.089999914,3.088999987,3.378235167,-27.631493850,3.475767612,-27.818578720,3.079999924,0.022346709,0.000078485,173.040304,/ap/v1/navsat
