elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
54.821577,2026-09-01T20:53:26.485763+00:00,1788296006.485762596,,1788296004.246426105,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,514.309
55.358984,2026-09-01T20:53:27.023170+00:00,1788296007.023169756,,1788296004.701349020,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,537.406
55.843037,2026-09-01T20:53:27.507222+00:00,1788296007.507222414,,1788296005.213263035,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,484.058
56.371919,2026-09-01T20:53:28.036105+00:00,1788296008.036105156,,1788296005.701180935,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,528.878
56.883861,2026-09-01T20:53:28.548047+00:00,1788296008.548046589,,1788296006.171102047,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,511.947
57.418496,2026-09-01T20:53:29.082681+00:00,1788296009.082681179,,1788296006.737006903,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,534.633
57.924530,2026-09-01T20:53:29.588716+00:00,1788296009.588715792,,1788296007.236922979,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,506.031
58.449035,2026-09-01T20:53:30.113221+00:00,1788296010.113221407,,1788296007.692847013,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,524.503
58.954108,2026-09-01T20:53:30.618293+00:00,1788296010.618293285,,1788296008.188762903,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.080
59.476682,2026-09-01T20:53:31.140867+00:00,1788296011.140866518,,1788296008.700676918,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,522.574
59.983802,2026-09-01T20:53:31.647988+00:00,1788296011.647988081,,1788296008.974631071,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,507.120
60.502886,2026-09-01T20:53:32.167072+00:00,1788296012.167071819,,1788296009.653517008,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,519.085
61.040387,2026-09-01T20:53:32.704573+00:00,1788296012.704572916,,1788296010.141434908,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,537.495
61.568049,2026-09-01T20:53:33.232235+00:00,1788296013.232234955,,1788296010.688343048,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,527.666
62.133722,2026-09-01T20:53:33.797909+00:00,1788296013.797908545,,1788296011.230252028,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,565.671
