time_s,raw_score_array
67.834665,"[1.0, 0.9978082180023193, 1.0, 40.13825988769531, -53.86174011230469, 1.0, 0.9890411496162415, 1.0, 2.0, 0.8069196939468384, 1.0, 12.827674865722656, -81.17232513427734, 1.0, 0.9868742227554321, 0.8126810789108276, 3.0, 0.9930437207221985, 1.0, 29.685813903808594, -64.3141860961914, 1.0, 0.9809279441833496, 1.0]"
69.834558,"[1.0, 0.9970719218254089, 1.0, 41.74878692626953, -52.25121307373047, 1.0, 0.9853595495223999, 1.0, 2.0, 0.8103943467140198, 1.0, 13.108209609985352, -80.89179229736328, 1.0, 0.9905173182487488, 0.8120878338813782, 3.0, 0.900859534740448, 1.0, 20.313034057617188, -73.68696594238281, 1.0, 0.9886460304260254, 1.0]"
71.834670,"[1.0, 0.9968761205673218, 1.0, 39.761680603027344, -54.238319396972656, 1.0, 0.9843807220458984, 1.0, 2.0, 0.8848158121109009, 1.0, 20.630537033081055, -73.36946105957031, 1.0, 0.9862039089202881, 0.8126968145370483, 3.0, 0.9814542531967163, 1.0, 28.652971267700195, -65.34703063964844, 1.0, 0.9746226072311401, 1.0]"
73.834578,"[1.0, 0.998559296131134, 1.0, 43.3394660949707, -50.6605339050293, 1.0, 0.9927965998649597, 1.0, 2.0, 0.8028237223625183, 1.0, 12.274832725524902, -81.72516632080078, 1.0, 0.9937061667442322, 0.8133413791656494, 3.0, 0.9987131953239441, 1.0, 35.69780349731445, -58.30219650268555, 1.0, 0.9935660362243652, 1.0]"
75.834575,"[1.0, 0.9977758526802063, 1.0, 40.17436599731445, -53.82563400268555, 1.0, 0.988879382610321, 1.0, 2.0, 0.8903655409812927, 1.0, 21.108121871948242, -72.89187622070312, 1.0, 0.9904156923294067, 0.8120117783546448, 3.0, 0.9973179697990417, 1.0, 30.613798141479492, -63.38620376586914, 1.0, 0.986589789390564, 1.0]"
77.834633,"[1.0, 0.9982591271400452, 1.0, 39.717472076416016, -54.282527923583984, 1.0, 0.9912957549095154, 1.0, 2.0, 0.8235464096069336, 1.0, 14.390119552612305, -79.60987854003906, 1.0, 0.9925916194915771, 0.8112689256668091, 3.0, 0.9632869362831116, 1.0, 26.554798126220703, -67.44519805908203, 1.0, 0.9886947274208069, 1.0]"
79.834703,"[1.0, 0.9946743249893188, 1.0, 43.172786712646484, -50.827213287353516, 1.0, 0.9733715653419495, 1.0, 2.0, 0.7108594179153442, 1.0, 3.3871288299560547, -90.61286926269531, 1.0, 0.979285717010498, 0.8113101720809937, 3.0, 0.9961523413658142, 1.0, 31.781326293945312, -62.21867370605469, 1.0, 0.9807618260383606, 1.0]"
81.834697,"[1.0, 0.9979376792907715, 1.0, 37.991485595703125, -56.008514404296875, 1.0, 0.9896884560585022, 1.0, 2.0, 0.8547020554542542, 1.0, 17.608352661132812, -76.39164733886719, 1.0, 0.9860321283340454, 0.8141208291053772, 3.0, 0.9662100672721863, 1.0, 26.935026168823242, -67.06497192382812, 1.0, 0.9842991828918457, 1.0]"
83.834571,"[1.0, 0.9942772388458252, 1.0, 40.37509536743164, -53.62490463256836, 1.0, 0.9713863134384155, 1.0, 2.0, 0.8651350140571594, 1.0, 18.782062530517578, -75.21793365478516, 1.0, 0.9794175624847412, 0.8143086433410645, 3.0, 0.9710943698883057, 1.0, 27.487258911132812, -66.51274108886719, 1.0, 0.9811090230941772, 1.0]"
85.834557,"[1.0, 0.9965115785598755, 1.0, 42.79366683959961, -51.20633316040039, 1.0, 0.9825577735900879, 1.0, 2.0, 0.8397682905197144, 1.0, 16.323287963867188, -77.67671203613281, 1.0, 0.9762417078018188, 0.8128706812858582, 3.0, 0.996934175491333, 1.0, 30.68161964416504, -63.31837844848633, 1.0, 0.9846709370613098, 1.0]"
87.834707,"[1.0, 0.9973598122596741, 1.0, 42.539859771728516, -51.460140228271484, 1.0, 0.9867991209030151, 1.0, 2.0, 0.8617379665374756, 1.0, 18.253450393676758, -75.74655151367188, 1.0, 0.9904778003692627, 0.8110792636871338, 3.0, 0.9969519376754761, 1.0, 32.81212615966797, -61.18787384033203, 1.0, 0.9847598075866699, 1.0]"
89.834564,"[1.0, 0.9991517663002014, 1.0, 36.93309020996094, -57.06690979003906, 1.0, 0.9957587718963623, 1.0, 2.0, 0.8514904975891113, 1.0, 17.118371963500977, -76.88162994384766, 1.0, 0.9957414865493774, 0.8115845918655396, 3.0, 0.9750834703445435, 1.0, 27.60215187072754, -66.3978500366211, 1.0, 0.9953098893165588, 1.0]"
91.834618,"[1.0, 0.9988630414009094, 1.0, 40.84933853149414, -53.15066146850586, 1.0, 0.9943151473999023, 1.0, 2.0, 0.8370988368988037, 1.0, 15.725409507751465, -78.27458953857422, 1.0, 0.9930785298347473, 0.8122904300689697, 3.0, 0.9983236789703369, 1.0, 34.992454528808594, -59.007545471191406, 1.0, 0.9916183352470398, 1.0]"
93.834589,"[1.0, 0.995934784412384, 1.0, 37.07958984375, -56.92041015625, 1.0, 0.9796738028526306, 1.0, 2.0, 0.8247719407081604, 1.0, 14.647926330566406, -79.3520736694336, 1.0, 0.9844315052032471, 0.814063549041748, 3.0, 0.9567556381225586, 1.0, 26.187379837036133, -67.8126220703125, 1.0, 0.9744092226028442, 1.0]"
95.834601,"[1.0, 0.9980950951576233, 1.0, 43.03117752075195, -50.96882247924805, 1.0, 0.9904754161834717, 1.0, 2.0, 0.8773943781852722, 1.0, 19.71232795715332, -74.28767395019531, 1.0, 0.9942788481712341, 0.814153254032135, 3.0, 0.9717066287994385, 1.0, 27.314533233642578, -66.68546295166016, 1.0, 0.9928063750267029, 1.0]"
97.834544,"[1.0, 0.9983931183815002, 1.0, 44.808937072753906, -49.191062927246094, 1.0, 0.9919655919075012, 1.0, 2.0, 0.787686288356781, 1.0, 10.864253044128418, -83.13574981689453, 1.0, 0.9892973303794861, 0.8118426203727722, 3.0, 0.9981107711791992, 1.0, 34.29297637939453, -59.70702362060547, 1.0, 0.9905537366867065, 1.0]"
99.834597,"[1.0, 0.9970071911811829, 1.0, 37.073028564453125, -56.926971435546875, 0.9990826845169067, 0.9864119291305542, 1.0, 2.0, 0.8007920384407043, 1.0, 12.173674583435059, -81.82632446289062, 0.9990826845169067, 0.99074387550354, 0.8118171691894531, 3.0, 0.9980421662330627, 1.0, 38.35873794555664, -55.64126205444336, 1.0, 0.9902108311653137, 1.0]"
101.834640,"[1.0, 0.9941596388816833, 1.0, 40.0396842956543, -53.9603157043457, 1.0, 0.9707980751991272, 1.0, 2.0, 0.7748787999153137, 1.0, 9.783305168151855, -84.2166976928711, 1.0, 0.9794201254844666, 0.8116170167922974, 3.0, 0.9946523308753967, 1.0, 31.942617416381836, -62.0573844909668, 1.0, 0.9732616543769836, 1.0]"
103.834625,"[1.0, 0.997780442237854, 1.0, 38.36589431762695, -55.63410568237305, 1.0, 0.98890221118927, 1.0, 2.0, 0.8560778498649597, 1.0, 17.623573303222656, -76.37642669677734, 1.0, 0.9924173951148987, 0.8135863542556763, 3.0, 0.9986860156059265, 1.0, 32.35135269165039, -61.64864730834961, 1.0, 0.993429958820343, 1.0]"
105.834601,"[1.0, 0.9945260286331177, 1.0, 33.82416534423828, -60.17583465576172, 1.0, 0.9726302027702332, 1.0, 2.0, 0.8940688371658325, 1.0, 21.785831451416016, -72.21417236328125, 1.0, 0.9741344451904297, 0.8138362765312195, 3.0, 0.9917623996734619, 1.0, 31.982839584350586, -62.01716232299805, 1.0, 0.95881187915802, 1.0]"
107.834565,"[1.0, 0.9990749359130859, 1.0, 40.732025146484375, -53.267974853515625, 1.0, 0.9953746199607849, 1.0, 2.0, 0.9021714925765991, 1.0, 22.15109634399414, -71.8488998413086, 1.0, 0.9954962134361267, 0.8156130313873291, 3.0, 0.9986265897750854, 1.0, 34.02809524536133, -59.97190475463867, 1.0, 0.9931328892707825, 1.0]"
109.834571,"[1.0, 0.9956068992614746, 1.0, 39.13847732543945, -54.86152267456055, 1.0, 0.9780345559120178, 1.0, 2.0, 0.8207460641860962, 1.0, 14.307087898254395, -79.69290924072266, 1.0, 0.9812061190605164, 0.8143395185470581, 3.0, 0.9946938753128052, 1.0, 31.880722045898438, -62.11927795410156, 1.0, 0.9734694361686707, 1.0]"
111.834640,"[1.0, 0.9976043105125427, 1.0, 38.5950927734375, -55.4049072265625, 1.0, 0.9880216121673584, 1.0, 2.0, 0.8591996431350708, 1.0, 18.18892478942871, -75.81107330322266, 1.0, 0.9806191325187683, 0.8118655681610107, 3.0, 0.99686199426651, 1.0, 32.07310485839844, -61.92689514160156, 1.0, 0.9843100905418396, 1.0]"
113.834553,"[1.0, 0.9976330399513245, 1.0, 42.012901306152344, -51.987098693847656, 1.0, 0.9881651997566223, 1.0, 2.0, 0.7159483432769775, 1.0, 3.8035008907318115, -90.19650268554688, 1.0, 0.9848487377166748, 0.8094360828399658, 3.0, 0.9980872273445129, 1.0, 31.431833267211914, -62.56816482543945, 1.0, 0.9904362559318542, 1.0]"
115.834612,"[1.0, 0.9947863221168518, 1.0, 37.49069595336914, -56.50930404663086, 1.0, 0.9739315509796143, 1.0, 2.0, 0.8127606511116028, 1.0, 13.551800727844238, -80.44819641113281, 1.0, 0.9804477691650391, 0.8115307688713074, 3.0, 0.9942604899406433, 1.0, 34.90763473510742, -59.09236526489258, 1.0, 0.971302330493927, 1.0]"
117.834587,"[1.0, 0.9976905584335327, 1.0, 33.19472122192383, -60.80527877807617, 1.0, 0.9884527921676636, 1.0, 2.0, 0.7969492673873901, 1.0, 11.807490348815918, -82.19251251220703, 1.0, 0.9879995584487915, 0.812744677066803, 3.0, 0.9980494379997253, 1.0, 32.29697036743164, -61.70302963256836, 1.0, 0.9902471899986267, 1.0]"
119.834630,"[1.0, 0.9696819186210632, 1.0, 41.795379638671875, -52.204620361328125, 0.9998961091041565, 0.8485654592514038, 1.0, 2.0, 0.8222239017486572, 1.0, 17.384231567382812, -76.61576843261719, 0.9962847232818604, 0.8401771783828735, 0.8146070837974548, 3.0, 0.945219874382019, 1.0, 36.56529998779297, -57.43470001220703, 0.9961808323860168, 0.7318282723426819, 1.0]"
