time_s,node_id,x_m,y_m,z_m
6.200109,1,-18.899240493774414,-14.840405464172363,59.95418930053711
6.200109,2,-20.037830352783203,-11.235631942749023,40.092254638671875
6.200109,3,-12.640121459960938,-45.42778778076172,49.94730758666992
6.300143,0,-70.0,-7.0,2.9000000953674316
6.300143,1,-17.859270095825195,-14.711463928222656,59.95724868774414
6.300143,2,-19.03849983215332,-10.90872573852539,40.09791946411133
6.300143,3,-11.705594062805176,-45.88817596435547,49.94881820678711
6.400210,0,-70.0,-7.0,2.9000000953674316
6.400210,1,-16.818262100219727,-14.585404396057129,59.959903717041016
6.400210,2,-18.039100646972656,-10.586408615112305,40.102569580078125
6.400210,3,-10.770419120788574,-46.348411560058594,49.94926071166992
6.499972,0,-70.0,-7.0,2.9000000953674316
6.499972,1,-15.776141166687012,-14.454130172729492,59.962684631347656
6.499972,2,-17.037656784057617,-10.270256042480469,40.1058235168457
6.499972,3,-9.83529281616211,-46.80759048461914,49.948333740234375
6.600099,0,-70.0,-7.0,2.9000000953674316
6.600099,1,-14.733626365661621,-14.326502799987793,59.966026306152344
6.600099,2,-16.038436889648438,-9.953206062316895,40.1095085144043
6.600099,3,-8.900860786437988,-47.26860046386719,49.947261810302734
6.699817,0,-70.0,-7.0,2.9000000953674316
6.699817,1,-13.691781997680664,-14.198554992675781,59.96894836425781
6.699817,2,-15.041181564331055,-9.63525104522705,40.113319396972656
6.699817,3,-7.966104030609131,-47.7303352355957,49.94703674316406
6.800211,0,-70.0,-7.0,2.9000000953674316
6.800211,1,-12.65097713470459,-14.066245079040527,59.972564697265625
6.800211,2,-14.043917655944824,-9.322256088256836,40.11640930175781
6.800211,3,-7.031338214874268,-48.195613861083984,49.947200775146484
6.899786,0,-70.0,-7.0,2.9000000953674316
6.899786,1,-11.61136245727539,-13.937100410461426,59.977394104003906
6.899786,2,-13.049930572509766,-9.009590148925781,40.11797332763672
6.899786,3,-6.098312854766846,-48.66439437866211,49.946380615234375
6.999975,0,-70.0,-7.0,2.9000000953674316
6.999975,1,-10.574750900268555,-13.802725791931152,59.982078552246094
6.999975,2,-12.059525489807129,-8.690900802612305,40.11948776245117
6.999975,3,-5.162800312042236,-49.13419723510742,49.94599914550781
7.100023,0,-70.0,-7.0,2.9000000953674316
7.100023,1,-9.538493156433105,-13.672723770141602,59.985687255859375
7.100023,2,-11.070348739624023,-8.374191284179688,40.1202392578125
7.100023,3,-4.225577354431152,-49.60114288330078,49.94645309448242
7.199957,0,-70.0,-7.0,2.9000000953674316
7.199957,1,-8.502346992492676,-13.540579795837402,59.98952102661133
7.199957,2,-10.080164909362793,-8.060136795043945,40.1195068359375
7.199957,3,-3.2880022525787354,-50.06270980834961,49.94806671142578
7.301506,0,-70.0,-7.0,2.9000000953674316
7.301506,1,-7.467230319976807,-13.409449577331543,59.99235916137695
7.301506,2,-9.091890335083008,-7.743399143218994,40.118160247802734
7.301506,3,-2.352835178375244,-50.5269889831543,49.94918441772461
7.399941,0,-70.0,-7.0,2.9000000953674316
7.399941,1,-6.950536727905273,-13.341928482055664,59.994285583496094
7.399941,2,-8.596845626831055,-7.588568210601807,40.11696243286133
7.399941,3,-1.888136863708496,-50.76454544067383,49.94964599609375
7.499982,0,-70.0,-7.0,2.9000000953674316
7.499982,1,-5.918578624725342,-13.21323299407959,59.99668884277344
7.499982,2,-7.608327865600586,-7.273956298828125,40.11195755004883
7.499982,3,-0.9553450345993042,-51.22712326049805,49.95248794555664
7.599911,0,-70.0,-7.0,2.9000000953674316
7.599911,1,-4.888432025909424,-13.083950996398926,59.995243072509766
7.599911,2,-6.622193813323975,-6.957291603088379,40.10734176635742
7.599911,3,-0.02291623316705227,-51.68911361694336,49.95522689819336
7.699842,0,-70.0,-7.0,2.9000000953674316
